legId,startingAirport,destinationAirport,isNonStop,baseFare,totalFare,segmentsAirlineName,segmentsCabinCode
9ca0e81111c683bec1012473feefd28f,ATL,BOS,TRUE,217.67,248.6,Delta,coach
79eda9f841e226a1e2121d74211e595c,ATL,BOS,TRUE,217.67,248.6,JetBlue Airways,coach
e1b95e4e6c997517f64ba5ea712bda22,ATL,BOS,TRUE,265.58,300.1,American Airlines,coach
9401afa39f1ad4275c73a66786500992,ATL,BOS,TRUE,292.09,328.6,Delta,coach
24c07cf38de8a7a0ed2d7709168042a8,ATL,BOS,TRUE,316.73,355.09,JetBlue Airways,coach
5c132806994b4b0c7c87b90a7d1dfa2c,ATL,BOS,TRUE,357.21,398.6,Delta,coach
68063b78f62c81ac88820015908ac208,ATL,BOS,TRUE,367.98,410.18,American Airlines,coach
5dcea6820b64516095a8fa4fcc987015,ATL,DEN,TRUE,111.05,133.98,Frontier Airlines,coach
60cde6285cef2ea1bf0bc492e5ea7d74,ATL,DEN,TRUE,262.33,296.61,Delta,coach
e3ca34d6bf56e8178f4ad2e98c49beb8,ATL,DEN,TRUE,262.33,296.61,United,coach
b8632c8d6306eefa042de33dd303fc21,ATL,DFW,TRUE,112,168.59,Spirit Airlines,coach
a5e3ac25a2a23b16e9a7c82eb3dbe5c6,ATL,DFW,TRUE,174.88,202.6,Delta,coach
6cd4d22d911087d9f2135e9b61622770,ATL,DFW,TRUE,174.88,202.6,American Airlines,coach
c67d8c61e1d25d86221c7770281837aa,ATL,DFW,TRUE,221.4,252.61,Delta,coach
6cf8015a1d1187cbaf00f0236f7357ca,ATL,DFW,TRUE,227.91,259.6,American Airlines,coach
e3bd12a72754276d308a1a42a150417d,ATL,DFW,TRUE,245.58,278.6,Delta,coach
b43a667a300fdabaf085f8ccaed1f5bc,ATL,DFW,TRUE,292.09,328.6,Delta,coach
2411f8ad75dea4c08f8f3e34ea6a0ebf,ATL,DFW,TRUE,362.22,403.99,Frontier Airlines,coach
5063dd3d8bd9f57d75311e7fba0f0b85,ATL,DTW,TRUE,109,165.59,Spirit Airlines,coach
b67e5a5e2c73c219e108b37f73a0d87b,ATL,DTW,TRUE,450.23,498.6,Delta,coach
